Accident_Index,Latitude,Longitude,Year,Month,Day,Hour,Speed_limit,Car_involved_in_accident,Motorcycle_involved_in_accident,Truck_involved_in_accident,Other_vehicle_involved_in_accident
200501TD00069,51.473008,0.074301,2005,3,28,12,30,0,0,0,1
200501TD00077,51.389703999999995,0.050407,2005,3,23,14,30,1,0,0,0
200501TD00081,51.456004,0.059423000000000004,2005,3,23,17,30,1,0,0,0
200501TD00085,51.376465,-0.027061,2005,4,21,12,30,1,0,0,0
200501TD00097,51.404724,-0.012329000000000001,2005,5,9,17,30,1,0,0,0
200501TD00138,51.497146,-0.053694000000000006,2005,6,29,17,30,1,1,0,0
200501TD00145,51.414896,-0.061216999999999994,2005,7,10,18,30,1,0,0,0
200501TD00153,51.415665000000004,0.057178,2005,7,16,23,30,1,1,0,0
200501TD00154,51.4449,-0.070164,2005,7,17,5,30,1,0,0,0
200501TD00155,51.500046000000005,-0.087862,2005,7,20,22,30,0,0,0,1
200501TD00168,51.476741,-0.016687999999999998,2005,6,26,4,30,1,0,0,0
200501TD00175,51.381027,-0.090672,2005,8,8,1,30,1,0,0,0
200501TD00181,51.474346000000004,-0.034648000000000005,2005,8,10,17,30,0,1,0,0
200501TD00182,51.450641999999995,0.062636,2005,8,10,6,30,1,0,0,1
200501TD00187,51.487248,0.092809,2005,8,17,16,30,1,1,0,0
200501TD00188,51.375421,-0.045211,2005,8,5,9,30,1,0,0,0
200501TD00189,51.364076000000004,-0.08247,2005,8,20,0,30,1,0,0,0
200501TD00201,51.379051000000004,0.042457999999999996,2005,8,20,15,30,1,1,0,0
200501TD00205,51.419414,-0.11769400000000001,2005,9,5,18,30,1,1,0,0
200501TD00206,51.345529,-0.11440499999999999,2005,9,2,18,30,1,0,0,0
200501TD00227,51.429087,0.101515,2005,10,8,22,30,1,0,0,0
200501TD00230,51.425375,-0.005104,2005,10,15,0,30,1,0,0,0
200501TD00235,51.483827000000005,-0.091421,2005,10,25,19,30,1,1,0,0
200501TD00256,51.477841,0.135727,2005,11,24,7,30,1,0,0,0
200501TD00260,51.374169,0.119833,2005,10,14,13,30,0,1,0,0
200501TD00263,51.368485,0.09586499999999999,2005,12,6,19,30,1,0,0,0
200501TD00264,51.439858,0.005167000000000001,2005,11,29,8,30,1,0,0,0
200501TD00265,51.328344,0.015657,2005,11,26,14,40,1,1,0,0
200501TD00270,51.430402,0.083304,2005,12,17,0,30,1,0,0,0
200501TD00273,51.475702000000005,-0.019037000000000002,2005,12,21,6,30,0,0,0,1
200501TD00283,51.477331,0.19259,2005,12,23,23,30,1,0,0,0
200501TD00289,51.437507000000004,0.005928,2005,12,14,21,30,1,0,0,0
200501TD09023,51.347662,-0.00963,2005,11,19,18,30,1,0,0,0
200501TE00004,51.458884000000005,-0.330845,2005,1,3,22,30,0,1,0,0
200501TE00005,51.48395,-0.30414800000000003,2005,1,11,13,30,0,1,0,0
200501TE00025,51.470907000000004,-0.367266,2005,1,18,11,30,0,0,0,1
200501TE00072,51.489016,-0.28768299999999997,2005,1,27,18,30,1,0,0,1
200501TE00118,51.474565000000005,-0.32696,2005,2,26,17,30,1,1,0,0
200501TE00148,51.509818,-0.241076,2005,2,16,23,30,1,0,0,0
200501TE00155,51.485979,-0.41051400000000005,2005,3,20,11,50,0,1,0,0
200501TE00156,51.461634000000004,-0.188945,2005,2,14,18,30,1,1,0,0
200501TE00158,51.394024,-0.255153,2005,3,27,5,30,0,1,0,0
200501TE00162,51.384704,-0.294023,2005,3,29,20,30,1,0,0,0
200501TE00166,51.489715999999994,-0.381287,2005,2,16,17,30,1,0,0,0
200501TE00234,51.473912,-0.19205899999999998,2005,6,1,18,30,1,1,0,0
200501TE00237,51.473565,-0.34514,2005,6,8,16,30,1,0,0,0
200501TE00241,51.482698,-0.127331,2005,6,15,16,30,0,0,0,1
200501TE00242,51.438254,-0.36656,2005,6,22,11,30,1,0,0,1
200501TE00243,51.470377,-0.35504600000000003,2005,6,21,10,30,0,0,1,1
200501TE00257,51.463466,-0.167997,2005,4,3,15,30,0,0,0,1
200501TE00258,51.447022,-0.128935,2005,4,20,17,30,1,0,0,0
200501TE00260,51.433615,-0.128476,2005,6,23,7,30,1,0,0,1
200501TE00261,51.494960999999996,-0.23977600000000002,2005,6,30,17,30,0,1,0,0
200501TE00265,51.369693,-0.140854,2005,7,3,7,30,1,0,0,0
200501TE00266,51.456952,-0.194456,2005,7,7,9,30,0,0,1,0
200501TE00272,51.397445000000005,-0.310656,2005,7,18,13,30,1,0,0,0
200501TE00296,51.47773,-0.372927,2005,8,2,13,40,1,0,0,1
200501TE00297,51.506652,-0.24581,2005,7,31,7,30,1,0,0,1
200501TE00298,51.410694,-0.22748400000000002,2005,7,31,2,30,1,0,0,0
200501TE00302,51.441173,-0.106295,2005,8,11,10,30,0,0,0,1
200501TE00321,51.447439,-0.406672,2005,9,1,1,30,1,0,0,0
200501TE00322,51.508043,-0.230625,2005,8,30,12,30,1,0,0,0
200501TE00357,51.502232,-0.22696,2005,9,30,2,30,1,0,0,0
200501TE00365,51.479765,-0.140845,2005,10,7,18,30,1,1,0,0
200501TE00369,51.48603,-0.12200899999999999,2005,10,7,18,30,0,0,0,1
200501TE00371,51.38315,-0.190465,2005,6,28,10,30,0,0,0,1
200501TE00374,51.482881,-0.329968,2005,10,12,22,40,1,0,0,0
200501TE00385,51.515640999999995,-0.221683,2005,10,23,0,30,1,0,0,0
200501TE00416,51.455604,-0.103395,2005,11,14,21,30,1,0,0,0
200501TE00417,51.484139,-0.21988400000000002,2005,11,8,20,30,0,1,0,0
200501TE00428,51.455701,-0.36018,2005,11,16,21,30,1,0,0,0
200501TE00435,51.511553,-0.224869,2005,11,20,21,30,0,1,0,0
200501TE00462,51.472386,-0.20983000000000002,2005,12,9,15,30,0,1,0,1
200501TE00465,51.503078,-0.223469,2005,12,14,8,30,0,1,1,0
200501TE00475,51.479531,-0.11493199999999999,2005,12,15,8,30,0,0,1,1
200501TE00481,51.49258,-0.267094,2005,12,28,10,30,1,0,0,0
200501TE00482,51.449397999999995,-0.13128499999999999,2005,12,21,5,30,1,0,0,0
2005030000056,54.96182099999999,-2.756027,2005,1,5,13,60,1,0,0,0
2005030000072,54.680537,-2.6951099999999997,2005,1,19,19,60,1,0,0,0
2005030000345,54.589787,-2.5108,2005,2,17,2,40,1,0,1,0
2005030000530,54.676267,-3.3820769999999998,2005,2,28,13,50,1,0,0,0
2005030000626,54.777609999999996,-3.208749,2005,3,7,1,60,1,0,0,0
2005030000656,54.855466,-3.318564,2005,3,13,10,60,1,0,0,0
2005030000666,54.255981999999996,-3.170416,2005,3,11,9,60,1,0,1,0
2005030000865,54.746539,-3.452208,2005,3,31,12,60,1,0,0,0
2005030000983,54.709005000000005,-3.323586,2005,4,13,16,60,1,0,1,0
2005030001166,54.229473999999996,-3.052768,2005,4,19,21,70,1,0,0,0
2005030001278,54.55316,-3.5783099999999997,2005,4,28,8,30,0,0,0,1
2005030001282,54.60858399999999,-3.524711,2005,4,28,15,50,1,0,1,0
2005030001284,54.63965400000001,-3.483571,2005,5,1,17,60,1,1,0,0
2005030001468,54.831447,-2.897591,2005,5,14,6,60,1,0,0,0
2005030001733,54.260535,-2.813758,2005,6,8,13,70,1,0,0,0
2005030002034,54.837216000000005,-2.858015,2005,7,6,19,60,1,0,0,0
2005030002240,54.661643000000005,-2.7293580000000004,2005,7,19,10,40,0,0,1,0
2005030002260,54.962894999999996,-2.99392,2005,7,19,6,70,0,0,1,0
2005030002315,54.624184,-3.163924,2005,7,27,21,60,1,0,0,0
2005030002431,54.888836,-2.926617,2005,7,31,1,30,1,0,0,0
2005030002925,54.342884,-2.7257029999999998,2005,8,7,14,60,1,1,0,0
2005030003168,54.108425,-3.239372,2005,10,4,10,30,1,0,0,0
2005030003330,54.260718000000004,-2.813301,2005,10,13,13,70,1,0,0,0
2005030003332,54.723074,-2.779058,2005,10,12,10,60,1,0,0,0
2005030003344,54.583408,-3.53971,2005,7,15,21,60,1,0,0,0
2005030003428,54.671925,-2.8607299999999998,2005,10,19,19,60,1,0,0,0
2005030003451,54.883973,-3.195252,2005,10,26,10,60,1,0,0,0
2005030003462,54.355103,-2.923645,2005,10,26,8,30,1,0,0,0
2005030003593,54.616284,-3.055141,2005,11,6,20,60,1,0,0,0
2005030003719,54.745993000000006,-3.45281,2005,11,14,15,60,1,0,0,1
2005030003747,54.260628000000004,-2.8133,2005,11,8,18,70,1,0,1,0
2005030004053,54.958870999999995,-2.643997,2005,12,10,17,60,1,0,0,1
2005030004062,54.62296,-3.041839,2005,12,13,20,60,1,0,1,0
2005030004182,54.653862,-3.5335370000000004,2005,12,28,12,30,1,0,0,0
